tract,hh_type1_h,hh_type1_t
6081604600,34.19208,15.83362
6081604700,31.4031,15.28474
6081604800,26.48091,12.42072
6081604900,31.07288,14.83056
6081605000,30.23716,14.28657
6081605100,26.20522,12.90571
6081605200,36.22128,14.19289
6081605300,28.31425,12.8864
6081605400,29.36823,12.63128
6081605500,27.87528,11.14593
6081605600,38.24718,16.9739
6081605700,42.52662,16.95461
6081605800,39.51187,14.84242
6081605900,25.98279,10.95327
6081606000,27.17587,11.75048
6081606100,27.91683,14.25315
6081606200,27.23116,12.16019
6081606300,25.61949,11.55578
6081606400,33.66023,11.62583
6081606500,38.10873,14.93818
6081606600,32.23062,13.25258
6081606700,32.22149,15.35813
6081606800,30.42853,15.44135
6081606900,30.7937,16.52133
6081607000,31.19331,14.55754
6081607100,32.85518,15.36577
6081607200,32.08988,11.7591
6081607300,33.4553,15.02974
6081607400,32.09139,12.50931
6081607500,27.62849,12.9497
6081607600,30.41038,13.68532
6081607701,27.8191,13.52284
6081607702,30.49152,14.43378
6081607800,32.7473,14.89226
6081607900,30.43843,12.21387
6081608001,34.54091,12.34686
6081608002,35.42795,13.58593
6081608004,29.79232,12.39834
6081608013,36.32081,13.49615
6081608023,33.26271,15.27146
6081608100,30.51012,12.98628
6081608200,29.71947,13.90935
6081608300,33.75732,13.56178
6081608400,25.94756,11.92967
6081608501,29.76669,13.72815
6081608502,28.4559,12.47486
6081608600,29.18582,12.47967
6081608700,33.39101,14.35158
6081608800,32.77014,15.78778
6081608900,28.83334,13.1801
6081609000,29.8152,14.44953
6081609100,29.61281,14.72146
6081609201,32.19786,13.09089
6081609202,28.32398,11.8004
6081609300,30.05275,14.08338
6081609400,34.3805,15.14007
6081609500,30.79529,15.16537
6081609601,37.59424,15.21746
6081609602,33.27973,15.71091
6081609603,37.72419,15.56912
6081609700,42.06571,16.27491
